[2026-08-16 22:55:44] 监控启动：CPU≤60% GPU≤95%（间隔 10s）
[2026-08-16 22:56:40] CPU 7.6% | GPU 18.0% 显存 1357MiB
[2026-08-16 23:27:13] CPU 5.5% | GPU 99.0% 显存 24057MiB  <== ALERT GPU 99.0%
[2026-08-16 23:27:24] CPU 5.5% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:27:36] CPU 6.5% | GPU 99.0% 显存 24055MiB  <== ALERT GPU 99.0%
[2026-08-16 23:27:47] CPU 11.0% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:27:58] CPU 7.1% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:28:09] CPU 6.1% | GPU 98.0% 显存 24061MiB  <== ALERT GPU 98.0%
[2026-08-16 23:28:20] CPU 6.9% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:28:31] CPU 6.2% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:28:42] CPU 6.0% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:28:53] CPU 8.8% | GPU 98.0% 显存 24056MiB  <== ALERT GPU 98.0%
[2026-08-16 23:29:04] CPU 8.3% | GPU 98.0% 显存 24060MiB  <== ALERT GPU 98.0%
[2026-08-16 23:29:15] CPU 6.3% | GPU 98.0% 显存 24058MiB  <== ALERT GPU 98.0%
[2026-08-16 23:29:26] CPU 7.6% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:29:37] CPU 6.8% | GPU 98.0% 显存 24055MiB  <== ALERT GPU 98.0%
[2026-08-16 23:29:48] CPU 6.3% | GPU 92.0% 显存 24060MiB
[2026-08-16 23:29:59] CPU 6.4% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:30:10] CPU 5.3% | GPU 99.0% 显存 24055MiB  <== ALERT GPU 99.0%
[2026-08-16 23:30:21] CPU 10.7% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:30:43] CPU 5.9% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:30:54] CPU 16.1% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:31:05] CPU 7.3% | GPU 96.0% 显存 24061MiB  <== ALERT GPU 96.0%
[2026-08-16 23:31:16] CPU 4.8% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:31:27] CPU 9.1% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:31:38] CPU 7.2% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:31:49] CPU 6.1% | GPU 100.0% 显存 24060MiB  <== ALERT GPU 100.0%
[2026-08-16 23:32:00] CPU 10.0% | GPU 98.0% 显存 24060MiB  <== ALERT GPU 98.0%
[2026-08-16 23:32:12] CPU 9.8% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:32:23] CPU 6.9% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:32:34] CPU 8.8% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:32:45] CPU 7.5% | GPU 100.0% 显存 24060MiB  <== ALERT GPU 100.0%
[2026-08-16 23:32:56] CPU 10.8% | GPU 100.0% 显存 24061MiB  <== ALERT GPU 100.0%
[2026-08-16 23:33:07] CPU 7.6% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:33:18] CPU 7.4% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:33:29] CPU 6.8% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:33:40] CPU 9.7% | GPU 100.0% 显存 24061MiB  <== ALERT GPU 100.0%
[2026-08-16 23:33:51] CPU 15.4% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:34:02] CPU 6.9% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:34:13] CPU 7.4% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:34:24] CPU 6.1% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:34:35] CPU 6.8% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:34:46] CPU 11.2% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:34:57] CPU 9.6% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:35:08] CPU 10.0% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:35:19] CPU 9.7% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:35:30] CPU 9.2% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:35:41] CPU 7.1% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:35:53] CPU 7.6% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:36:15] CPU 9.1% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:36:26] CPU 5.3% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:36:37] CPU 8.9% | GPU 98.0% 显存 24060MiB  <== ALERT GPU 98.0%
[2026-08-16 23:36:48] CPU 14.3% | GPU 99.0% 显存 24062MiB  <== ALERT GPU 99.0%
[2026-08-16 23:36:59] CPU 9.1% | GPU 100.0% 显存 24062MiB  <== ALERT GPU 100.0%
